trade_date,ts_code,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2018-09-26,000001.SZ,10.71,0.8681,1.9585,1.34,7.9303,7.6601,0.8833,1.7384,1.6878,1.4753,1.2698,1717041.1366,1717024.6773,761029.0923,18389510.573,18389334.2939
2018-09-27,000001.SZ,10.74,0.5127,1.1568,0.74,7.9525,7.6815,0.8858,1.7432,1.6926,1.4711,1.2663,1717041.1366,1717024.6773,761029.0923,18441021.8071,18440845.0342
2018-09-28,000001.SZ,11.05,1.229,2.7729,1.89,8.182,7.9032,0.9114,1.7936,1.7414,1.4299,1.2308,1717041.1366,1717024.6773,761029.0923,18973304.5594,18973122.6842
2018-10-08,000001.SZ,10.45,0.9821,2.2159,1.19,7.7378,7.4741,0.8619,1.6962,1.6468,1.512,1.3014,1717041.1366,1717024.6773,761029.0923,17943079.8775,17942907.8778
2018-10-09,000001.SZ,10.56,0.6197,1.3982,0.74,7.8192,7.5528,0.8709,1.714,1.6642,1.4962,1.2879,1717041.1366,1717024.6773,761029.0923,18131954.4025,18131780.5923
2018-10-10,000001.SZ,10.45,0.5796,1.3077,0.69,7.7378,7.4741,0.8619,1.6962,1.6468,1.512,1.3014,1717041.1366,1717024.6773,761029.0923,17943079.8775,17942907.8778
2018-10-11,000001.SZ,9.86,1.162,2.6216,1.48,7.3009,7.0521,0.8132,1.6004,1.5539,1.6024,1.3793,1717041.1366,1717024.6773,761029.0923,16930025.6069,16929863.3182
2018-10-12,000001.SZ,10.3,0.8834,1.9931,0.97,7.6267,7.3668,0.8495,1.6718,1.6232,1.534,1.3204,1717041.1366,1717024.6773,761029.0923,17685523.707,17685354.1762
2018-10-15,000001.SZ,10.11,0.8169,1.8431,0.97,7.486,7.2309,0.8338,1.641,1.5933,1.5628,1.3452,1717041.1366,1717024.6773,761029.0923,17359285.891,17359119.4875
2018-10-16,000001.SZ,10.37,0.8136,1.8356,1.0,7.6785,7.4169,0.8553,1.6832,1.6342,1.5236,1.3115,1717041.1366,1717024.6773,761029.0923,17805716.5865,17805545.9036
2018-10-17,000001.SZ,10.33,0.7868,1.7751,0.92,7.6489,7.3883,0.852,1.6767,1.6279,1.5295,1.3166,1717041.1366,1717024.6773,761029.0923,17737034.9411,17736864.9165
2018-10-18,000001.SZ,10.09,0.5831,1.3155,0.65,7.4712,7.2166,0.8322,1.6377,1.5901,1.5659,1.3479,1717041.1366,1717024.6773,761029.0923,17324945.0683,17324778.994
